Nome,Proprietário,Estrelas,Data de Criação,Idade (anos),Pull Requests Aceitos,Releases,Última Atualização,Dias Desde Atualização,Linguagem Principal,Total de Issues,Issues Fechadas,Razão Issues Fechadas
build-your-own-x,codecrafters-io,472143,2018-05-09T12:03:18Z,7.82,155,0,2026-03-04T18:15:50Z,0,Markdown,888,653,0.7354
awesome,sindresorhus,442534,2014-07-11T13:42:37Z,11.65,694,0,2026-03-04T18:16:43Z,0,Desconhecida,365,349,0.9562
freeCodeCamp,freeCodeCamp,437774,2014-12-24T17:49:19Z,11.19,27750,0,2026-03-04T17:58:49Z,0,TypeScript,21150,20970,0.9915
public-apis,public-apis,404103,2016-03-20T23:49:42Z,9.95,1872,0,2026-03-04T18:17:00Z,0,Python,837,832,0.994
free-programming-books,EbookFoundation,383590,2013-10-11T06:50:37Z,12.39,7328,0,2026-03-04T18:09:56Z,0,Python,1263,1227,0.9715
developer-roadmap,kamranahmedse,350170,2017-03-15T13:45:52Z,8.97,4070,1,2026-03-04T18:15:59Z,0,TypeScript,3084,3054,0.9903
coding-interview-university,jwasham,337582,2016-06-06T02:34:12Z,9.74,415,0,2026-03-04T18:04:50Z,0,Desconhecida,525,454,0.8648
system-design-primer,donnemartin,337290,2017-02-26T16:15:28Z,9.02,203,0,2026-03-04T18:11:10Z,0,Python,360,110,0.3056
awesome-python,vinta,285564,2014-06-27T21:00:06Z,11.68,641,0,2026-03-04T18:08:01Z,0,Python,0,0,0.0
awesome-selfhosted,awesome-selfhosted,276528,2015-06-01T02:33:17Z,10.76,2395,1,2026-03-04T18:15:37Z,0,Desconhecida,807,807,1.0
996.ICU,996icu,275630,2019-03-26T07:31:14Z,6.94,1072,0,2026-03-04T17:22:55Z,0,Desconhecida,0,0,0.0
project-based-learning,practical-tutorials,260098,2017-04-12T05:07:46Z,8.89,182,0,2026-03-04T18:14:45Z,0,Desconhecida,227,82,0.3612
openclaw,openclaw,259804,2025-11-24T10:16:47Z,0.27,2678,59,2026-03-04T18:15:44Z,0,TypeScript,14904,9909,0.6649
react,facebook,243602,2013-05-24T16:15:54Z,12.78,12772,118,2026-03-04T18:10:53Z,0,JavaScript,14383,13574,0.9438
linux,torvalds,220833,2011-09-04T22:48:12Z,14.49,0,0,2026-03-04T18:13:42Z,0,C,0,0,0.0
Python,TheAlgorithms,218329,2016-07-16T09:44:01Z,9.63,3046,0,2026-03-04T17:09:10Z,0,Python,1702,1540,0.9048
vue,vuejs,209956,2013-07-29T03:24:51Z,12.6,1136,249,2026-03-04T17:22:54Z,0,TypeScript,10027,9668,0.9642
the-book-of-secret-knowledge,trimstray,208654,2018-06-23T10:43:14Z,7.7,122,0,2026-03-04T18:15:09Z,0,Desconhecida,0,0,0.0
computer-science,ossu,202108,2014-05-04T00:18:39Z,11.83,305,0,2026-03-04T17:56:30Z,0,HTML,666,654,0.982
javascript-algorithms,trekhleb,195726,2018-03-24T07:47:04Z,7.95,304,0,2026-03-04T17:49:50Z,0,JavaScript,371,233,0.628
tensorflow,tensorflow,194003,2015-11-07T01:19:20Z,10.32,42273,221,2026-03-04T17:54:15Z,0,C++,41189,40299,0.9784
ohmyzsh,ohmyzsh,185101,2009-08-28T18:15:37Z,16.51,3515,0,2026-03-04T17:57:19Z,0,Shell,5032,4890,0.9718
You-Dont-Know-JS,getify,184460,2013-11-16T02:37:24Z,12.3,370,0,2026-03-04T17:10:12Z,0,Desconhecida,949,949,1.0
CS-Notes,CyC2018,183805,2018-02-13T14:56:24Z,8.05,374,0,2026-03-04T16:14:23Z,0,Desconhecida,578,449,0.7768
vscode,microsoft,182292,2015-09-03T20:23:38Z,10.5,43243,196,2026-03-04T18:10:54Z,0,TypeScript,231910,218612,0.9427
AutoGPT,Significant-Gravitas,182190,2023-03-16T09:21:07Z,2.97,3950,93,2026-03-04T17:53:07Z,0,Python,3736,3501,0.9371
Python-100-Days,jackfrued,179258,2018-03-01T16:05:52Z,8.01,13,0,2026-03-04T16:47:39Z,0,Jupyter Notebook,711,188,0.2644
n8n,n8n-io,177558,2019-06-22T09:24:21Z,6.7,14055,547,2026-03-04T18:16:53Z,0,TypeScript,8193,7722,0.9425
flutter,flutter,175428,2015-03-06T22:54:58Z,10.99,46904,7,2026-03-04T18:01:45Z,0,Dart,112419,100246,0.8917
bootstrap,twbs,174018,2011-07-29T21:19:00Z,14.6,9113,94,2026-03-04T17:49:05Z,0,MDX,22848,22453,0.9827
gitignore,github,172815,2010-11-08T20:17:14Z,15.32,1727,0,2026-03-04T17:26:50Z,0,Desconhecida,0,0,0.0
Microsoft-Activation-Scripts,massgravel,167685,2020-01-12T23:03:34Z,6.14,5,29,2026-03-04T18:09:59Z,0,Batchfile,908,906,0.9978
awesome-go,avelino,166544,2014-07-06T13:42:15Z,11.66,3605,0,2026-03-04T18:04:27Z,0,Go,727,713,0.9807
ollama,ollama,164077,2023-06-26T19:39:32Z,2.69,3067,188,2026-03-04T18:07:22Z,0,Go,9473,7495,0.7912
stable-diffusion-webui,AUTOMATIC1111,161479,2022-08-22T14:05:26Z,3.53,1884,27,2026-03-04T17:50:39Z,0,Python,7885,5486,0.6958
the-art-of-command-line,jlevy,160039,2015-05-20T15:11:03Z,10.79,317,0,2026-03-04T16:33:30Z,0,Desconhecida,258,136,0.5271
transformers,huggingface,157382,2018-10-29T13:56:00Z,7.35,18722,244,2026-03-04T18:16:30Z,0,Python,18653,17581,0.9425
JavaGuide,Snailclimb,154035,2018-05-07T13:27:00Z,7.82,1213,0,2026-03-04T17:32:56Z,0,Java,1130,1056,0.9345
FreeDomain,DigitalPlatDev,150651,2024-05-30T13:23:00Z,1.76,1,0,2026-03-04T17:54:54Z,0,HTML,0,0,0.0
prompts.chat,f,150018,2022-12-05T13:54:13Z,3.24,200,0,2026-03-04T18:10:20Z,0,HTML,131,126,0.9618
yt-dlp,yt-dlp,149567,2020-10-26T04:22:55Z,5.35,3229,131,2026-03-04T17:48:26Z,0,Python,11118,9301,0.8366
javascript,airbnb,148089,2012-11-01T23:13:50Z,13.33,813,0,2026-03-04T17:21:51Z,0,JavaScript,1399,1299,0.9285
langflow,langflow-ai,145248,2023-02-08T22:28:03Z,3.06,5757,283,2026-03-04T18:03:54Z,0,Python,3158,2818,0.8923
HelloGitHub,521xueweihan,144740,2016-05-04T06:24:11Z,9.83,17,63,2026-03-04T18:02:36Z,0,Python,2961,2681,0.9054
youtube-dl,ytdl-org,139782,2010-10-31T14:35:07Z,15.34,1646,341,2026-03-04T12:58:34Z,0,Python,26819,23190,0.8647
next.js,vercel,138148,2016-10-05T23:32:51Z,9.41,26117,1000,2026-03-04T18:10:55Z,0,JavaScript,24305,22255,0.9157
tech-interview-handbook,yangshun,137970,2016-07-05T05:00:48Z,9.66,486,0,2026-03-04T17:26:02Z,0,TypeScript,120,76,0.6333
scrcpy,Genymobile,136469,2017-11-21T18:00:27Z,8.28,123,50,2026-03-04T17:52:04Z,0,C,5956,3285,0.5515
fucking-algorithm,labuladong,132899,2020-02-19T09:01:23Z,6.04,244,0,2026-03-04T17:32:25Z,0,Markdown,962,962,1.0
go,golang,132878,2014-08-19T04:33:40Z,11.54,1,0,2026-03-04T18:01:44Z,0,Go,70383,60944,0.8659
dify,langgenius,131192,2023-04-12T07:40:24Z,2.89,9694,158,2026-03-04T18:00:55Z,0,TypeScript,16718,16308,0.9755
PowerToys,microsoft,130211,2019-05-01T17:44:02Z,6.84,6345,127,2026-03-04T16:19:44Z,0,C#,38225,30127,0.7881
langchain,langchain-ai,128224,2022-10-17T02:58:36Z,3.38,16030,1000,2026-03-04T17:59:16Z,0,Python,9110,8870,0.9737
system-prompts-and-models-of-ai-tools,x1xhlol,127840,2025-03-05T16:38:29Z,1.0,46,0,2026-03-04T18:16:35Z,0,Desconhecida,189,108,0.5714
30-seconds-of-code,Chalarangelo,126942,2017-11-29T17:35:03Z,8.26,836,12,2026-03-04T17:22:59Z,0,JavaScript,300,300,1.0
open-webui,open-webui,125718,2023-10-06T22:08:27Z,2.41,3307,152,2026-03-04T18:14:23Z,0,Python,7784,7608,0.9774
react-native,facebook,125499,2015-01-09T18:10:16Z,11.15,955,443,2026-03-04T17:27:21Z,0,C++,27578,26830,0.9729
hello-algo,krahets,122640,2022-11-04T11:08:34Z,3.33,968,10,2026-03-04T16:50:49Z,0,Java,282,274,0.9716
kubernetes,kubernetes,120920,2014-06-06T22:56:04Z,11.74,63980,784,2026-03-04T18:00:43Z,0,Go,48611,46777,0.9623
electron,electron,120308,2013-04-12T01:47:36Z,12.89,24525,1000,2026-03-04T17:29:45Z,0,C++,21475,20733,0.9654
free-for-dev,ripienaar,118595,2015-03-18T21:06:26Z,10.96,2900,0,2026-03-04T18:13:04Z,0,HTML,0,0,0.0
excalidraw,excalidraw,117989,2020-01-02T01:04:43Z,6.17,3837,14,2026-03-04T18:16:41Z,0,TypeScript,4642,2538,0.5467
free-programming-books-zh_CN,justjavac,116393,2013-11-04T01:59:19Z,12.33,282,3,2026-03-04T13:35:21Z,0,Desconhecida,0,0,0.0
node,nodejs,116064,2014-11-26T19:57:11Z,11.27,11889,484,2026-03-04T17:30:18Z,0,JavaScript,20081,18326,0.9126
opencode,anomalyco,115806,2025-04-30T20:08:00Z,0.84,2569,727,2026-03-04T18:15:09Z,0,TypeScript,9669,5050,0.5223
d3,d3,112465,2010-09-27T17:22:42Z,15.43,494,194,2026-03-04T14:29:07Z,0,Shell,2239,2229,0.9955
iptv,iptv-org,112397,2018-11-14T22:00:57Z,7.3,6821,0,2026-03-04T17:50:26Z,0,TypeScript,21723,21423,0.9862
three.js,mrdoob,111166,2010-03-23T18:58:01Z,15.95,15229,175,2026-03-04T16:33:41Z,0,JavaScript,13506,13064,0.9673
rust,rust-lang,110875,2010-06-16T20:39:03Z,15.71,69525,146,2026-03-04T18:04:11Z,0,Rust,61588,50457,0.8193
rustdesk,rustdesk,108622,2020-09-28T15:36:08Z,5.43,3944,35,2026-03-04T18:05:27Z,0,Rust,3999,3933,0.9835
axios,axios,108582,2014-08-18T22:30:27Z,11.54,1134,109,2026-03-04T17:22:58Z,0,JavaScript,4958,4756,0.9593
TypeScript,microsoft,108013,2014-06-17T15:28:39Z,11.71,14857,214,2026-03-04T17:21:08Z,0,TypeScript,42961,37985,0.8842
Awesome-Hacking,Hack-with-Github,107729,2016-03-30T15:47:10Z,9.93,34,0,2026-03-04T18:15:49Z,0,Desconhecida,0,0,0.0
ui,shadcn-ui,107702,2023-01-04T12:43:27Z,3.16,1007,75,2026-03-04T18:10:56Z,0,TypeScript,3930,2945,0.7494
generative-ai-for-beginners,microsoft,107501,2023-06-19T16:28:59Z,2.71,521,0,2026-03-04T17:44:05Z,0,Jupyter Notebook,207,201,0.971
godot,godotengine,107328,2014-01-04T16:05:36Z,12.16,41403,66,2026-03-04T17:24:08Z,0,C++,61260,48282,0.7881
GitHub-Chinese-Top-Charts,GrowingGit,106565,2019-09-05T03:01:56Z,6.49,0,0,2026-03-04T17:16:04Z,0,Java,343,162,0.4723
deno,denoland,106307,2018-05-15T01:34:26Z,7.8,14278,367,2026-03-04T17:40:59Z,0,Rust,13948,11588,0.8308
nodebestpractices,goldbergyoni,105138,2017-09-15T08:33:19Z,8.47,766,0,2026-03-04T18:04:16Z,0,Dockerfile,334,286,0.8563
frp,fatedier,104870,2015-12-21T15:24:59Z,10.2,733,109,2026-03-04T17:15:38Z,0,Go,4058,4022,0.9911
