Nome,Proprietário,Idade,Estrelas,Pull Requests Aceitos,Releases,Linhas de código,Linhas de comentário,Média CBO (Classes),Média DIT (Classes),Média LCOM (Classes),Média CBO (Métodos)
advanced-java,doocs,7.5 anos,78922,90,1,3,3,0.0,1.0,0.0,0.0
GitHub-Chinese-Top-Charts,GrowingGit,6.6 anos,107298,0,0,3,1,0.0,1.0,0.0,0.0
LeetCodeAnimation,MisterBooo,7.3 anos,76669,63,0,142,3,1.0,1.0,0.0,0.5
termux-app,termux,10.5 anos,53021,177,95,22727,10646,5.912772585669782,1.4299065420560748,60.82554517133956,2.135770234986945
mall,macrozheng,8.0 anos,83324,1,3,51182,3050,3.934210526315789,1.2394736842105265,1110.803947368421,1.5705214139561137
interviews,kdn251,9.1 anos,64898,42,0,8332,6577,1.1945525291828794,1.0038910505836576,0.2918287937743191,1.0383561643835617
hello-algo,krahets,3.4 anos,124876,982,10,16680,7900,1.8744186046511628,1.0,4.706976744186046,1.0025220680958389
spring-boot,spring-projects,13.5 anos,80358,80,345,40982,19240,5.859628770301624,1.3979118329466358,24.27262180974478,2.1669505962521294
MPAndroidChart,PhilJay,12.0 anos,38229,191,44,21314,9018,8.843137254901961,1.9803921568627447,91.0326797385621,1.9469920067311737
NewPipe,TeamNewPipe,10.6 anos,37747,1810,141,38528,8442,8.66468253968254,1.718253968253968,47.87301587301587,2.2040544145105363
JeecgBoot,jeecgboot,7.4 anos,45752,130,70,53164,34260,7.673341677096371,1.1864831038798498,60.474342928660825,2.4548814959773866
Java,TheAlgorithms,9.7 anos,65337,2296,0,66652,31556,2.0779220779220777,1.0383963862224732,11.20496894409938,1.424485937130702
hello-algorithm,geekxh,5.9 anos,36059,26,0,1346,978,1.0,1.0,0.0,1.25
awesome-system-design-resources,ashishps1,2.5 anos,35978,3,0,293,13,0.8181818181818182,1.0,0.0,0.3783783783783784
java-design-patterns,iluwatar,11.7 anos,93864,1520,0,41875,59338,3.362311557788945,1.1959798994974875,1.8276381909547736,1.7566371681415929
halo,halo-dev,8.0 anos,38202,2994,254,72283,10273,7.699186991869919,1.2714196372732958,7.6554096310193875,2.67356084108928
arthas,alibaba,7.6 anos,37218,590,69,56245,15320,4.691734921816828,1.3618763961280715,30.198808637379003,1.405573593073593
lottie-android,airbnb,9.5 anos,35596,720,63,16236,3834,6.965635738831615,1.288659793814433,35.80068728522337,2.297943301834352
RxJava,ReactiveX,13.2 anos,48428,3419,258,259744,82001,2.333781625619904,1.3221820627048837,47.883584096831136,2.083812939237065
glide,bumptech,12.7 anos,35034,607,54,70222,14810,5.980946123521682,1.2371879106438897,20.014454664914584,2.5649022906690826
zxing,zxing,14.5 anos,33913,349,32,39455,17733,4.984924623115578,1.661641541038526,22.88777219430486,1.8014032946918852
easyexcel,alibaba,8.2 anos,33755,190,14,23074,10119,6.632142857142857,1.375,32.025,2.080895008605852
guava,google,11.9 anos,51516,1244,57,421125,191239,4.212364243943191,1.8581453634085208,51.58646616541353,1.9090204274253355
AndroidUtilCode,Blankj,9.7 anos,33704,88,117,31096,18103,4.16865671641791,1.364179104477612,144.95373134328358,2.0262891809909
selenium,SeleniumHQ,13.2 anos,34190,3732,114,113587,35231,5.790887290167865,1.381294964028777,33.50119904076739,2.345500260100572
leetcode,doocs,7.6 anos,35854,4533,21,50261,2426,2.7641509433962264,1.009433962264151,0.3584905660377358,0.75
conductor,conductor-oss,2.3 anos,31599,414,44,111618,26781,7.446601941747573,1.2255414488424197,61.05899925317401,2.1151671461164567
xxl-job,xuxueli,10.4 anos,30018,130,43,7849,5019,4.988372093023256,1.1569767441860466,24.453488372093023,1.4065934065934067
netty,netty,15.4 anos,34904,5223,3,335492,136633,4.488761174968071,1.5275862068965518,69.03959131545338,2.0341053703232377
apollo,apolloconfig,10.1 anos,29751,1504,43,44664,14762,7.534351145038168,1.2404580152671756,15.43765903307888,2.4601293103448274
ruoyi-vue-pro,YunaiV,5.2 anos,36239,73,54,212841,87355,8.207223208999407,1.2232089994079336,13.586540359186897,3.0136176312488803
canal,alibaba,13.2 anos,29654,479,32,56180,12426,5.8007590132827325,1.3785578747628084,77.03415559772296,1.421461716937355
vhr,lenve,8.3 anos,28103,1,0,3021,387,4.4361702127659575,1.0212765957446808,48.32978723404256,0.9077598828696926
hutool,chinabugotech,12.0 anos,30321,515,157,121533,116516,3.5394206087275397,1.2805280528052805,101.06894022735608,1.522226433483134
spring-cloud-alibaba,alibaba,8.3 anos,29091,1146,51,20919,12528,5.922413793103448,1.112068965517241,30.622413793103448,1.669364629704573
JCSprout,crossoverJie,8.3 anos,26984,69,0,3337,1429,1.962962962962963,1.0925925925925926,1.7654320987654322,1.122340425531915
miaosha,qiurunze123,7.6 anos,26611,20,0,8855,2306,4.146853146853147,1.1258741258741258,14.3006993006993,1.3404619332763046
SmartTube,yuliskov,5.7 anos,29356,1424,987,219646,89068,6.664233576642336,1.5450121654501217,66.3500608272506,1.9623590492415024
nacos,alibaba,7.8 anos,32806,3483,93,253261,121728,5.424206583875419,1.276562191996846,22.54228267297457,2.0291470506784823
WxJava,binarywang,10.3 anos,32687,1198,31,159951,135955,5.452402704184177,1.21213228576649,20.955965649552347,1.788518738845925
butterknife,JakeWharton,13.1 anos,25407,346,0,11598,693,3.959558823529412,1.2352941176470589,10.481617647058824,2.8095952023988007
Chat2DB,CodePhiliaX,2.8 anos,25377,425,43,44134,19311,6.086124401913875,1.2660287081339714,16.489952153110046,2.038599393438103
kestra,kestra-io,6.6 anos,26668,6687,417,127132,14851,8.100522193211487,1.4329852045256746,15.604003481288077,2.699010105176325
SmartRefreshLayout,scwang90,8.8 anos,25171,12,14,15639,4358,6.651026392961877,1.5073313782991202,30.319648093841643,2.684487951807229
spring-framework,spring-projects,15.3 anos,59819,918,359,693456,418115,5.250319829424307,1.4729744136460554,29.52126865671642,2.24185452814677
proxyee-down,proxyee-down-org,8.4 anos,24776,16,49,3150,276,5.516666666666667,1.4666666666666666,19.516666666666666,1.884735202492212
incubator-seata,apache,7.3 anos,25968,2739,45,251775,109533,6.479031871555236,1.765875868679607,460.07596453390846,1.748247774199659
EventBus,greenrobot,13.7 anos,24743,31,7,3968,1718,3.4262295081967213,1.836065573770492,9.05464480874317,1.7065972222222223
Telegram,DrKLO,12.4 anos,28885,20,95,1145052,105570,6.956182852327786,1.676708096341549,70.4876764272172,2.0587264120522644
keycloak,keycloak,12.8 anos,33752,19601,104,604338,188127,6.995581586518701,1.5316481709823264,71.0825113029182,2.016608517632133
fastjson,alibaba,14.4 anos,25692,418,84,149833,14045,1.8523786944839573,1.5043464517148728,126.12122648964754,0.7127763555969281
gson,google,11.1 anos,24336,818,12,30564,11715,3.024884792626728,1.284792626728111,20.72534562211981,2.445678271308523
Apktool,iBotPeaches,14.1 anos,24208,640,28,9886,2398,6.192592592592592,1.711111111111111,52.65185185185185,1.8565573770491803
Hystrix,Netflix,13.4 anos,24465,678,79,40973,17142,3.340648379052369,1.570074812967581,20.253865336658357,2.3615635179153096
FizzBuzzEnterpriseEdition,EnterpriseQualityCoding,13.4 anos,23593,56,0,1121,699,3.0,1.0,0.2441860465116279,1.457142857142857
jenkins,jenkinsci,15.4 anos,25175,9287,486,166140,87474,6.345679012345679,1.906318082788671,46.62333575405471,2.132339003342146
source-code-hunter,doocs,6.4 anos,23132,131,0,3,3,0.0,1.0,0.0,0.0
LSPosed,LSPosed,5.3 anos,23376,1613,39,17672,4743,5.522248243559719,1.6463700234192038,48.114754098360656,1.9448511469009275
awesome-low-level-design,ashishps1,2.4 anos,23180,74,0,13274,743,2.6343001261034047,1.1387137452711222,3.0542244640605296,1.2319866722199084
dataease,dataease,5.2 anos,23733,10619,105,47853,6420,4.960212201591512,1.2033598585322722,28.43854995579133,2.0050251256281406
libgdx,libgdx,13.7 anos,24990,2794,15,187225,66973,5.1364522417154,1.7902046783625731,3434.7692495126707,1.2263884048463478
skywalking,apache,10.4 anos,24769,4989,64,136314,57217,6.061068702290076,1.3940105695830889,6.935995302407516,2.335377358490566
DSA-Bootcamp-Java,kunal-kushwaha,4.7 anos,22456,231,0,5651,857,1.2687747035573125,1.08300395256917,3.5019762845849804,0.9447513812154696
eladmin,elunez,7.3 anos,21939,82,1,11047,8192,8.01418439716312,1.1631205673758864,6.25886524822695,2.887966804979253
Sentinel,alibaba,8.0 anos,23105,517,26,54255,31327,4.406801831262263,1.1785480706344016,12.372138652714192,1.7053301029678982
GSYVideoPlayer,CarGuo,9.4 anos,21425,52,65,27017,7097,5.326409495548962,1.543026706231454,52.34569732937685,1.5239221871713986
HikariCP,brettwooldridge,12.5 anos,21086,256,0,10461,4042,4.383783783783784,1.2864864864864864,172.6702702702703,1.2860184528034069
ExoPlayer,google,11.8 anos,21926,550,28,286444,104599,7.587930508991161,1.295032002438281,52.220054861322765,2.60177065767285
redisson,redisson,12.2 anos,24296,679,179,276423,112126,5.775347912524851,1.3386348575215374,174.15374420145793,2.245470300929573
rocketmq,apache,9.3 anos,22400,2828,24,228051,50195,7.089824328803447,1.3337752734504476,136.51574411667218,1.9241874208526804
litemall,linlinjava,8.0 anos,20212,110,8,47226,40872,4.6175040518638575,1.1264181523500811,1532.8849270664505,1.884537474679271
RxAndroid,ReactiveX,11.6 anos,20148,189,20,1094,240,2.272727272727273,1.1272727272727272,3.090909090909091,2.100671140939597
DoKit,didi,7.6 anos,20428,357,14,61766,28175,4.506054811982154,1.3205863607393244,71.76673040152964,1.8048312450615196
mybatis-3,mybatis,13.1 anos,20409,1580,46,57200,28395,3.569476082004556,1.2380410022779045,21.27107061503417,1.5584327086882452
ip2region,lionsoul2014,10.4 anos,18904,136,22,2227,548,4.104166666666667,1.2083333333333333,11.375,1.9878542510121455
PhotoView,Baseflow,13.7 anos,18849,54,5,1286,381,4.733333333333333,1.3555555555555556,24.6,1.572192513368984
antlr4,antlr,16.2 anos,18813,1534,31,39963,16465,5.773413897280967,1.8353474320241687,48.30211480362538,2.1237227898711684
SpringBoot-Labs,yudaocode,7.6 anos,20079,3,0,24073,6165,4.429383886255924,1.0540284360189571,1.6701421800947869,1.5381613183000866
cat,dianping,13.3 anos,18968,900,3,79678,22727,5.527484143763213,1.43446088794926,23.035940803382665,1.5275347400926402
APIJSON,Tencent,9.4 anos,18406,143,112,11695,5017,5.914285714285715,1.2428571428571429,1169.3285714285714,2.0363520408163267
Algorithms,williamfiset,9.1 anos,18558,147,0,27149,8908,2.7222222222222223,1.0555555555555556,23.85333333333333,1.6792511700468018
Sa-Token,dromara,6.2 anos,18727,72,39,33358,38064,4.492146596858639,1.219895287958115,60.2238219895288,1.4605087014725568
disruptor,LMAX-Exchange,13.5 anos,18283,115,14,12005,7080,4.480487804878049,1.2902439024390244,25.882926829268293,2.344724220623501
analysis-ik,infinilabs,14.3 anos,17434,83,1,2195,1448,4.815789473684211,1.368421052631579,18.36842105263158,1.5934065934065933
tinker,Tencent,9.6 anos,17787,73,60,32295,10489,4.792307692307692,1.603846153846154,28.471153846153847,1.695743932465705
JustAuth,justauth,7.2 anos,17425,64,46,8293,3335,5.51010101010101,1.3434343434343434,12.984848484848484,2.085555555555556
caffeine,ben-manes,11.3 anos,17597,614,72,83841,21299,5.065340909090909,1.552556818181818,166.43394886363637,3.3703221607549625
tech-interview-for-developer,gyoogle,6.8 anos,17259,145,0,192,33,1.3076923076923077,1.0,0.9230769230769232,0.8461538461538461
mybatis-plus,baomidou,9.6 anos,17341,532,40,45222,27253,5.906309751434034,1.3336520076481837,25.059273422562143,2.2449500318945352
DataX,alibaba,8.2 anos,17159,181,7,63868,9589,4.502454991816694,1.7152209492635024,22.648936170212767,1.4830130404941662
Android-Universal-Image-Loader,nostra13,14.4 anos,17018,51,0,5760,5246,4.864285714285714,1.5857142857142856,28.84285714285714,1.5862913096695226
material-components-android,material-components,9.3 anos,17228,15,118,119163,45769,7.166195856873823,1.5409604519774012,94.12806026365348,2.355688202247191
BigData-Notes,heibaiying,7.1 anos,16885,7,0,2425,675,5.714285714285714,1.2207792207792207,0.8181818181818182,2.475113122171946
fresco,facebook,11.1 anos,17157,83,55,47377,14536,6.631368631368631,1.4155844155844155,27.182817182817185,2.183709141758434
zheng,shuzheng,9.5 anos,16695,10,0,23991,3447,4.530451866404715,1.4086444007858543,340.8565815324165,1.560746003552398
