repo,owner,name,stars,total_prs_merged_closed
codecrafters-io/build-your-own-x,codecrafters-io,build-your-own-x,497626,342
sindresorhus/awesome,sindresorhus,awesome,459791,2356
freeCodeCamp/freeCodeCamp,freeCodeCamp,freeCodeCamp,443783,44833
public-apis/public-apis,public-apis,public-apis,427581,3227
EbookFoundation/free-programming-books,EbookFoundation,free-programming-books,386384,11619
openclaw/openclaw,openclaw,openclaw,365677,36069
nilbuild/developer-roadmap,nilbuild,developer-roadmap,353808,5975
donnemartin/system-design-primer,donnemartin,system-design-primer,345561,372
jwasham/coding-interview-university,jwasham,coding-interview-university,343117,1012
vinta/awesome-python,vinta,awesome-python,294799,2382
awesome-selfhosted/awesome-selfhosted,awesome-selfhosted,awesome-selfhosted,288634,3040
996icu/996.ICU,996icu,996.ICU,276060,1991
practical-tutorials/project-based-learning,practical-tutorials,project-based-learning,264262,382
facebook/react,facebook,react,244740,18980
TheAlgorithms/Python,TheAlgorithms,Python,220338,11374
trimstray/the-book-of-secret-knowledge,trimstray,the-book-of-secret-knowledge,217742,240
vuejs/vue,vuejs,vue,209813,2368
ossu/computer-science,ossu,computer-science,203337,511
trekhleb/javascript-algorithms,trekhleb,javascript-algorithms,195890,574
tensorflow/tensorflow,tensorflow,tensorflow,194921,68523
ohmyzsh/ohmyzsh,ohmyzsh,ohmyzsh,186560,7645
n8n-io/n8n,n8n-io,n8n,185940,19303
getify/You-Dont-Know-JS,getify,You-Dont-Know-JS,184442,897
microsoft/vscode,microsoft,vscode,184348,54121
CyC2018/CS-Notes,CyC2018,CS-Notes,184275,562
Significant-Gravitas/AutoGPT,Significant-Gravitas,AutoGPT,183848,7712
jackfrued/Python-100-Days,jackfrued,Python-100-Days,181969,216
flutter/flutter,flutter,flutter,176124,70604
twbs/bootstrap,twbs,bootstrap,174210,16007
github/gitignore,github,gitignore,173606,4673
avelino/awesome-go,avelino,awesome-go,171216,5117
obra/superpowers,obra,superpowers,170891,527
ollama/ollama,ollama,ollama,170206,4582
affaan-m/everything-claude-code,affaan-m,everything-claude-code,168974,929
AUTOMATIC1111/stable-diffusion-webui,AUTOMATIC1111,stable-diffusion-webui,162653,3267
f/prompts.chat,f,prompts.chat,161006,849
jlevy/the-art-of-command-line,jlevy,the-art-of-command-line,160801,475
huggingface/transformers,huggingface,transformers,160036,24841
yt-dlp/yt-dlp,yt-dlp,yt-dlp,159006,4178
Snailclimb/JavaGuide,Snailclimb,JavaGuide,155282,1570
anomalyco/opencode,anomalyco,opencode,151084,8431
airbnb/javascript,airbnb,javascript,148125,1637
langflow-ai/langflow,langflow-ai,langflow,147463,8255
ytdl-org/youtube-dl,ytdl-org,youtube-dl,140152,4513
langgenius/dify,langgenius,dify,139480,12932
vercel/next.js,vercel,next.js,139202,34817
Genymobile/scrcpy,Genymobile,scrcpy,139135,575
yangshun/tech-interview-handbook,yangshun,tech-interview-handbook,139058,587
x1xhlol/system-prompts-and-models-of-ai-tools,x1xhlol,system-prompts-and-models-of-ai-tools,136270,133
langchain-ai/langchain,langchain-ai,langchain,135223,21910
open-webui/open-webui,open-webui,open-webui,134584,7320
golang/go,golang,go,133669,4612
labuladong/fucking-algorithm,labuladong,fucking-algorithm,133366,509
microsoft/PowerToys,microsoft,PowerToys,132098,7579
