repo,owner,name,stars,language,default_branch
krahets/hello-algo,krahets,hello-algo,126294,Java,main
GrowingGit/GitHub-Chinese-Top-Charts,GrowingGit,GitHub-Chinese-Top-Charts,108043,Java,master
iluwatar/java-design-patterns,iluwatar,java-design-patterns,94025,Java,master
macrozheng/mall,macrozheng,mall,83666,Java,master
spring-projects/spring-boot,spring-projects,spring-boot,80683,Java,main
doocs/advanced-java,doocs,advanced-java,78974,Java,main
elastic/elasticsearch,elastic,elasticsearch,76739,Java,main
MisterBooo/LeetCodeAnimation,MisterBooo,LeetCodeAnimation,76613,Java,master
NationalSecurityAgency/ghidra,NationalSecurityAgency,ghidra,68712,Java,master
TheAlgorithms/Java,TheAlgorithms,Java,65690,Java,master
kdn251/interviews,kdn251,interviews,64969,Java,master
spring-projects/spring-framework,spring-projects,spring-framework,59963,Java,main
termux/termux-app,termux,termux-app,55264,Java,master
google/guava,google,guava,51496,Java,master
dbeaver/dbeaver,dbeaver,dbeaver,50148,Java,devel
skylot/jadx,skylot,jadx,48630,Java,master
ReactiveX/RxJava,ReactiveX,RxJava,48252,Java,4.x
jeecgboot/JeecgBoot,jeecgboot,JeecgBoot,46347,Java,main
apache/dubbo,apache,dubbo,41518,Java,3.3
halo-dev/halo,halo-dev,halo,38718,Java,main
TeamNewPipe/NewPipe,TeamNewPipe,NewPipe,38229,Java,dev
PhilJay/MPAndroidChart,PhilJay,MPAndroidChart,38209,Java,master
ashishps1/awesome-system-design-resources,ashishps1,awesome-system-design-resources,37708,Java,main
eugenp/tutorials,eugenp,tutorials,37349,Java,master
alibaba/arthas,alibaba,arthas,37319,Java,master
YunaiV/ruoyi-vue-pro,YunaiV,ruoyi-vue-pro,37216,Java,master
geekxh/hello-algorithm,geekxh,hello-algorithm,36077,Java,master
doocs/leetcode,doocs,leetcode,36033,Java,main
airbnb/lottie-android,airbnb,lottie-android,35611,Java,master
bumptech/glide,bumptech,glide,35025,Java,master
netty/netty,netty,netty,34960,Java,4.2
keycloak/keycloak,keycloak,keycloak,34495,Java,main
